Vers -3300;L'apparition de l'écriture cunéiforme
Vers -2600;La construction de la pyramide de Khéops
Vers -2600;L'apparition de la civilisation Maya
-2205;La fondation de la 1ere dynastie chinoise
Vers -1750;La fondation de l'Empire babylonien
Vers -1100;La fin de la construction du site de Stonehenge
-776;Les premiers Jeux olympiques antiques
-753;La fondation de Rome
-586;La destruction du Temple de Salomon
-561;Le début du règne de Crésus
-558;La mort de Solon
-544;Le premier Bouddha atteint le Nirvana
-479;La mort du philosophe Confucius
-399;Le procès de Socrate
-331;Alexandre le Grand entre dans Babylone
-288;La construction de la bibliothèque d'Alexandrie
-221;Le début de la construction de la Grande muraille
-219;Hannibal traverse les Alpes
-71;Spartacus est vaincu par l'armée romaine
-52, septembre;Vercingétorix est vaincu par César
-44,15 mars;L'assassinat de Jules César
-30,18 août;La mort de Cléopâtre
33;Jésus de Nazareth est crucifié
79,24 octobre;La disparition de Pompéi
380,28 février;Le christianisme devient la religion officielle de l'Empire romain
451;L'invasion d'Attila le Hun est arrêtée en Gaule
476,4 septembre;La disparition de l'Empire romain d'Occident
496,25 décembre;Le baptême de Clovis
622;L'Hégire
800, 25 décembre;Charlemagne devient empereur
843,11 août;La signature du traité de Verdun
982;Erik le Rouge explore le Groenland
1095, 27 novembre;L'appel du pape Urbain II
1190,10 juin;L'empereur Barberousse périt noyé
1199;L'instauration du principe d'inquisition
1206;Gengis Khan fonde l'Empire mongol
1270, 25 août;La mort de Louis IX
1298;La parution du Livre des Merveilles de Marco Polo
1431, 30 mai;Jeanne d'Arc meurt brûlée vive
1441;Le début de la Traite négrière atlantique
1453, 29 mai;La disparition de l'Empire byzantin
1455;La parution de la Bible de Gutenberg
1492,12 octobre;Colomb découvre le continent américain
1521, 3 janvier;Martin Luther est excommunié
1529, 15 octobre;Soliman le Magnifique abandonne le siège de Vienne
1532,16 novembre;L'Empire inca est vaincu par Pizarro
1534, 24 juillet;Jacques Cartier découvre le Canada
1600, 21 octobre;Le début de l'ère Edo
1679;Le mandat d'Habeas Corpus
1772;La parution du dernier volume de l'Encyclopédie
1776,4 juillet;La signature de la Déclaration d'indépendance américaine
1788, 26 janvier;La fondation de la première colonie britannique australienne
1789,26 août;L'adoption de la Déclaration des droits de l'homme et du citoyen
1804, 2 décembre;Napoléon Bonaparte devient empereur
1865, 31 janvier;L'abolition de l'esclavage aux Etats-Unis
1868;Le début de l'ere Meiji
1876,25 juin;La bataille de Little Big Horn
1945, 27 janvier;La libération d'AuschwitzBirkenau
1945, 16 juillet;Le premier essai d'une bombe atomique
1969, 21 juillet;Le premier pas de l'Homme sur la Lune
